epoch,lr,train_loss,train_loss_vfl,train_loss_giou,train_loss_bbox,AP,AP50,AP_verytiny_8gpu_polluted,AR@2000,coco_0,coco_1,coco_2,coco_3,coco_4,coco_5,coco_6,coco_7,coco_8,coco_9,coco_10,coco_11,coco_12,train_time_s,train_s_per_it,eval_time_s,checkpoint_mtime
0,1.250e-05,12.4846,,,,0.4290,0.8040,0.2460,0.4970,0.4290,0.8040,0.2460,0.3740,0.5000,0.3760,0.4170,0.4850,0.4970,0.2810,0.4390,0.5780,0.4850,18704,2.8336,767,2026-08-18 15:25
1,1.250e-05,11.0081,1.3479,0.4231,0.0327,0.4477,0.8216,0.2622,0.5147,0.4477,0.8216,0.2622,0.3968,0.5170,0.3964,0.4293,0.5014,0.5147,0.2981,0.4598,0.5929,0.5038,22626,3.4277,764,2026-08-18 22:34
2,1.250e-05,10.6657,1.3084,0.3993,0.0310,0.4653,0.8304,0.2797,0.5308,0.4653,0.8304,0.2797,0.4168,0.5322,0.4224,0.4417,0.5168,0.5308,0.3124,0.4783,0.6057,0.5117,23492,3.5589,561,2026-08-19 05:24
3,1.250e-05,10.4282,1.2784,0.3846,0.0299,0.4854,0.8414,0.3017,0.5494,0.4854,0.8414,0.3017,0.4402,0.5486,0.4445,0.4557,0.5345,0.5494,0.3329,0.5005,0.6197,0.5221,23049,3.4918,561,2026-08-19 12:04
4,1.250e-05,10.2695,1.2579,0.3740,0.0296,0.5047,0.8511,0.3219,0.5664,0.5047,0.8511,0.3219,0.4620,0.5653,0.4630,0.4689,0.5508,0.5664,0.3536,0.5206,0.6322,0.5349,23711,3.5921,564,2026-08-19 18:54
5,1.250e-05,10.1572,1.2430,0.3659,0.0294,0.5226,0.8525,0.3401,0.5819,0.5226,0.8525,0.3401,0.4803,0.5801,0.4764,0.4808,0.5655,0.5819,0.3731,0.5374,0.6455,0.5500,24230,3.6708,567,2026-08-20 01:52
6,1.250e-05,10.0326,1.2268,0.3584,0.0289,0.5357,0.8571,0.3557,0.5944,0.5357,0.8571,0.3557,0.4943,0.5924,0.4893,0.4905,0.5775,0.5944,0.3919,0.5507,0.6564,0.5625,24244,3.6729,568,2026-08-20 08:50
7,1.250e-05,9.9430,1.2152,0.3527,0.0286,0.5496,0.8617,0.3709,0.6062,0.5496,0.8617,0.3709,0.5074,0.6033,0.4939,0.5001,0.5889,0.6062,0.4104,0.5633,0.6661,0.5684,24769,3.7524,572,2026-08-20 15:58
8,1.250e-05,9.8843,1.2088,0.3466,0.0283,0.5602,0.8621,0.3857,0.6171,0.5602,0.8621,0.3857,0.5195,0.6146,0.5033,0.5090,0.5993,0.6171,0.4284,0.5748,0.6758,0.5804,24472,3.7074,596,2026-08-20 23:01
9,1.250e-05,9.7985,1.1958,0.3431,0.0282,0.5673,0.8618,0.3964,0.6245,0.5673,0.8618,0.3964,0.5265,0.6202,0.5130,0.5148,0.6063,0.6245,0.4415,0.5827,0.6824,0.5940,25131,3.8073,571,2026-08-21 06:16
