epoch,iter,global_epoch,lr,loss_window_median,loss_epoch_running_avg
0,100,0.0151,1.3e-05,16.7843,17.2351
0,200,0.0303,1.3e-05,17.0574,17.1977
0,300,0.0454,1.3e-05,17.0965,17.2098
0,400,0.0606,1.3e-05,16.3885,17.1083
0,500,0.0757,1.3e-05,15.3379,16.8334
0,600,0.0909,1.3e-05,14.8489,16.569
0,700,0.1060,1.3e-05,14.7301,16.3764
0,800,0.1212,1.3e-05,14.4704,16.1588
0,900,0.1363,1.3e-05,13.2946,15.9067
0,1000,0.1515,1.3e-05,13.5902,15.6589
0,1100,0.1666,1.3e-05,12.4717,15.4287
0,1200,0.1818,1.3e-05,13.1942,15.2384
0,1300,0.1969,1.3e-05,12.7514,15.0592
0,1400,0.2121,1.3e-05,12.6446,14.9021
0,1500,0.2272,1.3e-05,12.1753,14.7556
0,1600,0.2424,1.3e-05,13.0358,14.6401
0,1700,0.2575,1.3e-05,12.1866,14.5275
0,1800,0.2727,1.3e-05,11.9414,14.4191
0,1900,0.2878,1.3e-05,12.4143,14.3377
0,2000,0.3030,1.3e-05,12.7824,14.2479
0,2100,0.3181,1.3e-05,12.4811,14.162
0,2200,0.3333,1.3e-05,11.9021,14.0777
0,2300,0.3484,1.3e-05,12.0339,13.9918
0,2400,0.3636,1.3e-05,11.7885,13.9094
0,2500,0.3787,1.3e-05,11.9547,13.838
0,2600,0.3939,1.3e-05,11.6005,13.774
0,2700,0.4090,1.3e-05,11.8087,13.7085
0,2800,0.4242,1.3e-05,12.059,13.6479
0,2900,0.4393,1.3e-05,11.6787,13.5916
0,3000,0.4545,1.3e-05,11.9766,13.5413
0,3100,0.4696,1.3e-05,12.0397,13.4942
0,3200,0.4848,1.3e-05,11.7497,13.4448
0,3300,0.4999,1.3e-05,11.5801,13.395
0,3400,0.5151,1.3e-05,11.5979,13.3525
0,3500,0.5302,1.3e-05,11.6982,13.313
0,3600,0.5454,1.3e-05,11.3236,13.2712
0,3700,0.5605,1.3e-05,11.5165,13.234
0,3800,0.5757,1.3e-05,11.6215,13.1966
0,3900,0.5908,1.3e-05,11.4503,13.1609
0,4000,0.6060,1.3e-05,11.9531,13.1267
0,4100,0.6211,1.3e-05,11.6465,13.0933
0,4200,0.6363,1.3e-05,11.2163,13.0597
0,4300,0.6514,1.3e-05,11.6945,13.0278
0,4400,0.6666,1.3e-05,11.2301,12.9958
0,4500,0.6817,1.3e-05,11.1012,12.9623
0,4600,0.6969,1.3e-05,11.2729,12.9329
0,4700,0.7120,1.3e-05,11.7673,12.9057
0,4800,0.7272,1.3e-05,11.2349,12.8761
0,4900,0.7423,1.3e-05,11.3976,12.8486
0,5000,0.7575,1.3e-05,11.4063,12.8224
0,5100,0.7726,1.3e-05,11.2347,12.7991
0,5200,0.7878,1.3e-05,11.6541,12.7749
0,5300,0.8029,1.3e-05,11.4481,12.752
0,5400,0.8181,1.3e-05,11.375,12.7263
0,5500,0.8332,1.3e-05,11.1197,12.7043
0,5600,0.8484,1.3e-05,11.2162,12.6821
0,5700,0.8635,1.3e-05,11.0274,12.6607
0,5800,0.8787,1.3e-05,11.3112,12.6427
0,5900,0.8938,1.3e-05,11.506,12.624
0,6000,0.9090,1.3e-05,11.2084,12.6043
0,6100,0.9241,1.3e-05,11.0499,12.585
0,6200,0.9393,1.3e-05,11.2326,12.5643
0,6300,0.9544,1.3e-05,10.95,12.542
0,6400,0.9696,1.3e-05,10.9285,12.5225
0,6500,0.9847,1.3e-05,11.0709,12.5026
0,6600,0.9998,1.3e-05,11.4865,12.4846
1,100,1.0151,1.3e-05,11.3432,11.1782
1,200,1.0303,1.3e-05,11.0155,11.2628
1,300,1.0454,1.3e-05,10.9486,11.2759
1,400,1.0606,1.3e-05,11.1493,11.2551
1,500,1.0757,1.3e-05,11.0106,11.2695
1,600,1.0909,1.3e-05,11.2989,11.2807
1,700,1.1060,1.3e-05,11.0599,11.2666
1,800,1.1212,1.3e-05,10.9619,11.2579
1,900,1.1363,1.3e-05,11.3797,11.2695
1,1000,1.1515,1.3e-05,10.9932,11.2607
1,1100,1.1666,1.3e-05,10.8865,11.2447
1,1200,1.1818,1.3e-05,10.7689,11.228
1,1300,1.1969,1.3e-05,10.9524,11.2156
1,1400,1.2121,1.3e-05,10.8215,11.2058
1,1500,1.2272,1.3e-05,10.8248,11.1963
1,1600,1.2424,1.3e-05,11.1505,11.1893
1,1700,1.2575,1.3e-05,10.8593,11.1845
1,1800,1.2727,1.3e-05,10.9237,11.1865
1,1900,1.2878,1.3e-05,11.0848,11.1805
1,2000,1.3030,1.3e-05,10.9898,11.1781
1,2100,1.3181,1.3e-05,10.7533,11.1704
1,2200,1.3333,1.3e-05,10.7729,11.1652
1,2300,1.3484,1.3e-05,10.8828,11.1589
1,2400,1.3636,1.3e-05,10.7067,11.1554
1,2500,1.3787,1.3e-05,10.8849,11.153
1,2600,1.3939,1.3e-05,10.9414,11.1499
1,2700,1.4090,1.3e-05,10.641,11.1417
1,2800,1.4242,1.3e-05,10.7425,11.1405
1,2900,1.4393,1.3e-05,10.8252,11.1355
1,3000,1.4545,1.3e-05,10.7774,11.1363
1,3100,1.4696,1.3e-05,10.9601,11.1351
1,3200,1.4848,1.3e-05,10.7608,11.1324
1,3300,1.4999,1.3e-05,10.6717,11.1247
1,3400,1.5151,1.3e-05,11.1315,11.1205
1,3500,1.5302,1.3e-05,10.6518,11.1134
1,3600,1.5454,1.3e-05,10.9052,11.1107
1,3700,1.5605,1.3e-05,10.8395,11.1054
1,3800,1.5757,1.3e-05,10.8417,11.1018
1,3900,1.5908,1.3e-05,10.6425,11.0992
1,4000,1.6060,1.3e-05,11.0195,11.0942
1,4100,1.6211,1.3e-05,10.9019,11.0897
1,4200,1.6363,1.3e-05,10.7033,11.0871
1,4300,1.6514,1.3e-05,10.7575,11.0855
1,4400,1.6666,1.3e-05,10.5211,11.0822
1,4500,1.6817,1.3e-05,10.6398,11.0778
1,4600,1.6969,1.3e-05,10.4988,11.0712
1,4700,1.7120,1.3e-05,10.8529,11.0702
1,4800,1.7272,1.3e-05,10.6045,11.0668
1,4900,1.7423,1.3e-05,11.0341,11.0627
1,5000,1.7575,1.3e-05,11.0052,11.0617
